Date,^SP500-255040,^SP500-30,^SP500-35,^SP500-60
2020-10-02,16.868599249594784,2.6119360749295994,1.9874866773186506,-4.760897914814466
2020-10-05,18.063238164287164,3.4067428692202917,4.1202949170471515,-4.191617806776526
2020-10-06,15.464043952613626,2.719468367195632,2.7569465080885536,-4.938014145233383
2020-10-07,17.87543007324597,3.9381645089027417,4.699909743127839,-4.6723462341116795
2020-10-08,18.876362955027105,4.550627734618473,5.1938410400315105,-3.1626887152329974
2020-10-09,19.324165989662067,5.35945510376985,6.122055346473809,-3.4536571065554966
2020-10-12,19.596685068964568,6.603081996297777,6.836911922951261,-2.981357882949498
2020-10-13,20.661695133226953,6.593731775749556,6.069133769872259,-4.625959875574659
2020-10-14,19.696113939605798,6.042049739558775,5.33327673052324,-5.735011444091831
2020-10-15,20.500391817540688,6.057630269831393,4.572225288207776,-5.296448338922454
2020-10-16,20.44883877076822,6.141791766688498,5.640726378119476,-5.684404049183566
2020-10-19,18.61563076869963,4.72050117182139,3.9060860941046327,-7.147675209525229
2020-10-20,19.31385358215456,4.609848968731556,4.041338098633673,-6.472972144312861
2020-10-21,18.519150868993407,4.736081702093986,3.5541232583612636,-6.8187560979015345
2020-10-22,17.57639722782347,4.503876631877435,5.093032665768815,-7.531416317921769
2020-10-23,18.64509350575463,4.665950292020793,5.503802950031811,-6.90309317673975
2020-10-26,15.471416379951176,3.335051503735187,4.332822062298769,-8.02479498535732
2020-10-27,14.805596283721222,3.084145992422238,3.614602130439537,-9.163361635939859
2020-10-28,11.664321875142726,0.07481127630890594,0.27300601732989094,-11.351943256402153
2020-10-29,11.816787268788985,0.11844246822614313,-0.44352198270619647,-10.162775645418021
2020-10-30,10.571323559292845,-0.34440771679503657,-0.5149317597752168,-10.829043072394573
2020-11-02,12.481123888786394,1.2794773312320817,1.2986755967853814,-8.568774613194464
2020-11-03,15.507505310844905,2.9205028649437192,2.7594690246248943,-7.075988370787412
2020-11-04,16.754434515043528,2.978173655568117,7.330002381009515,-6.814541496036952
2020-11-05,18.109639502688424,3.7885514682081567,7.528245520020893,-6.523573104714453
2020-11-06,17.50495660876974,4.248291254328751,7.693736960589059,-6.915743416840147
2020-11-09,15.080318100459934,3.769851027111737,8.478311382312409,-4.52053691840022
2020-11-10,17.091030776827274,5.830105065850577,8.862195331785783,-4.022937214593436
2020-11-11,17.180884482694747,6.7417848610322295,8.682440393241864,-3.2807619125078236
2020-11-12,16.354507304277345,6.520489966775811,8.244783774189246,-4.263304645514343
2020-11-13,17.28915127537598,7.9760615330119355,9.65601898080899,-2.083158663287865
2020-11-16,18.894038799107115,8.886190884704925,9.44349183555735,-1.5855589594810704
2020-11-17,17.06230528250603,8.211386514052288,8.639598628653378,-1.4717067985774879
2020-11-18,14.982363715286207,6.80100609514529,6.725193151962339,-3.1205169585605597
2020-11-19,15.68868720804739,7.101782620023123,6.576508234170753,-3.0024437612857224
2020-11-20,15.10904359478118,6.41451762992169,6.367344444300893,-3.6392025407035677
2020-11-23,16.392070720638596,6.469058997799038,6.04562104459665,-3.9639006159560175
2020-11-24,17.64268613850597,7.189054515780802,6.347184820274809,-3.9892075306634855
2020-11-25,16.936362645744808,7.098662709199299,5.897776965650503,-3.78257621817919
2020-11-27,17.311250575858494,7.037891031597554,6.907480861174831,-3.99763673439264
2020-11-30,17.428355290579734,6.966199666112471,7.212407992234748,-4.773548154914864
2020-12-01,17.909307275938446,7.907490078350654,8.077620910062432,-3.567515701965751
2020-12-02,16.39280796337235,7.098662709199299,8.945356344426457,-4.647045753910872
2020-12-03,16.216777774541093,7.1594438987242714,8.763078889346222,-3.9470357739910367
2020-12-04,15.4662556808149,7.988531664383958,9.948343783319524,-2.673524649662029
2020-12-07,15.147344253876183,7.630093860804998,9.267089998262957,-3.592816182166547
2020-12-08,14.404194587487517,8.220736734600509,10.064266748535665,-4.077759211366272
2020-12-09,16.91057713159352,7.863858886433439,9.746737288926388,-5.013915585835771
